postcode,point_coordinates,street,city,state,lat,long
46801,POINT(3.1071 101.6083),Kelana Jaya - Peti Surat 8917 - 8958,Petaling Jaya,Selangor,3.1071,101.6083
46802,POINT(3.1071 101.6083),Kelana Jaya - Peti Surat 8959 - 8979,Petaling Jaya,Selangor,3.1071,101.6083
46803,POINT(3.1071 101.6083),Kelana Jaya - Peti Surat 8980 - 9028,Petaling Jaya,Selangor,3.1071,101.6083
46804,POINT(3.1071 101.6083),Kelana Jaya - Peti Surat 9029 - 9077,Petaling Jaya,Selangor,3.1071,101.6083
46805,POINT(3.1071 101.6083),Kelana Jaya - Peti Surat 9078 - 9126,Petaling Jaya,Selangor,3.1071,101.6083
46806,POINT(3.1071 101.6083),Kelana Jaya - Peti Surat 9127 - 9175,Petaling Jaya,Selangor,3.1071,101.6083
46860,POINT(3.1071 101.6083),Jalan Semangat - Peti Surat 1002 - 1009,Petaling Jaya,Selangor,3.1071,101.6083
46870,POINT(3.1071 101.6083),Jalan Semangat - Peti Surat 1061 - 1075,Petaling Jaya,Selangor,3.1071,101.6083
46960,POINT(3.1071 101.6083),Jalan Semangat - Peti Surat 1001,Petaling Jaya,Selangor,3.1071,101.6083
46962,POINT(3.1071 101.6083),Jalan Semangat - Peti Surat 1010,Petaling Jaya,Selangor,3.1071,101.6083
46964,POINT(3.1071 101.6083),Jalan Semangat - Peti Surat 1011,Petaling Jaya,Selangor,3.1071,101.6083
46966,POINT(3.1071 101.6083),Jalan Semangat - Peti Surat 1012,Petaling Jaya,Selangor,3.1071,101.6083
46968,POINT(3.1071 101.6083),Jalan Semangat - Peti Surat 1018,Petaling Jaya,Selangor,3.1071,101.6083
46970,POINT(3.1071 101.6083),Jalan Semangat - Peti Surat 1019,Petaling Jaya,Selangor,3.1071,101.6083
46972,POINT(3.1071 101.6083),Jalan Semangat - Peti Surat 1076,Petaling Jaya,Selangor,3.1071,101.6083
46974,POINT(3.1071 101.6083),Jalan Semangat - Peti Surat 1078,Petaling Jaya,Selangor,3.1071,101.6083
46976,POINT(3.1071 101.6083),Jalan Semangat - Peti Surat 1087,Petaling Jaya,Selangor,3.1071,101.6083
46978,POINT(3.0689 101.5742),Aman Court,Petaling Jaya,Selangor,3.0689,101.5742
47000,POINT(3.1618 101.598),Bandar Puchong Utama,Sungai Buloh,Selangor,3.1618,101.598
47100,POINT(3.0757 101.6198),Bandar Puteri,Puchong,Selangor,3.0757,101.6198
47110,POINT(3.0099 101.6318),Bandar 16 Sierra,Puchong,Selangor,3.0099,101.6318
47120,POINT(3.0122 101.6283),Aman Putra,Puchong,Selangor,3.0122,101.6283
47130,POINT(2.9881 101.6053),Jalan Meranti Putra (1 - 4),Puchong,Selangor,2.9881,101.6053
47140,POINT(3.0034 101.6115),Jalan PU 7/3,Puchong,Selangor,3.0034,101.6115
47150,POINT(3.1013 101.5693),Bandar Metro Puchong ,Puchong,Selangor,3.1013,101.5693
47160,POINT(3.0471 101.6294),Jalan Bandar 6/1,Puchong,Selangor,3.0471,101.6294
47170,POINT(3.0271 101.6034),Bandar Puchong Jaya,Puchong,Selangor,3.0271,101.6034
47180,POINT(3.0666 101.6122),Bandar Kinrara,Puchong,Selangor,3.0666,101.6122
47190,POINT(3.0533 101.6348),Jalan TK 5/1,Puchong,Selangor,3.0533,101.6348
47200,POINT(3.1851 101.6275),Jalan Makmur,Subang Airport,Selangor,3.1851,101.6275
47300,POINT(3.1097 101.6171),Ara Damansara,Petaling Jaya,Selangor,3.1097,101.6171
47301,POINT(3.1042 101.6128),Ara Damansara PJU 1A,Petaling Jaya,Selangor,3.1042,101.6128
47307,POINT(3.1071 101.6083),Kampung Tunku - Peti Surat 6581 & ke atas,Petaling Jaya,Selangor,3.1071,101.6083
47308,POINT(3.1298 101.6275),Damansara Intan,Petaling Jaya,Selangor,3.1298,101.6275
47400,POINT(3.1296 101.6274),6A Bangunan 3M,Petaling Jaya,Selangor,3.1296,101.6274
47410,POINT(3.12 101.5952),6B Bangunan Luxor,Petaling Jaya,Selangor,3.12,101.5952
47500,POINT(3.0542 101.5949),Bandar Sunway,Petaling Jaya,Selangor,3.0542,101.5949
47507,POINT(3.0439 101.5806),Subang Jaya - Beg Berkunci,Subang Jaya,Selangor,3.0439,101.5806
47600,POINT(3.0473 101.5712),Jalan Subang 1 USJ 1,Subang Jaya,Selangor,3.0473,101.5712
47610,POINT(3.0439 101.5792),Subang Jaya - USJ 5 - 8,Subang Jaya,Selangor,3.0439,101.5792
47620,POINT(3.0337 101.5873),Subang Jaya - USJ 12 - 18,Subang Jaya,Selangor,3.0337,101.5873
47630,POINT(3.0334 101.5848),Subang Jaya - USJ 19 - 24,Subang Jaya,Selangor,3.0334,101.5848
47640,POINT(2.9766 101.6219),Bandar Putra Height,Subang Jaya,Selangor,2.9766,101.6219
47650,POINT(3.1402 101.6072),Bandar Utama,Subang Jaya,Selangor,3.1402,101.6072
47800,POINT(3.1149 101.5869),Bandar Utama PJU 6 ,Petaling Jaya,Selangor,3.1149,101.5869
47810,POINT(3.144 101.5875),Jalan Cecawi 6/30 Seksyen 6,Petaling Jaya,Selangor,3.144,101.5875
47820,POINT(3.1571 101.6019),Damansara Damai,Petaling Jaya,Selangor,3.1571,101.6019
47830,POINT(3.1871 101.5917),Damansara Damai PJU 10,Petaling Jaya,Selangor,3.1871,101.5917
48000,POINT(3.2549 101.5705),Bandar Country Homes,Rawang,Selangor,3.2549,101.5705
48010,POINT(3.3351 101.5498),Felda Sungai Buaya,Rawang,Selangor,3.3351,101.5498
48020,POINT(3.2277 101.6017),Bandar Tasik Puteri,Rawang,Selangor,3.2277,101.6017
48050,POINT(3.2559 101.5642),Bukit Nenas,Rawang,Selangor,3.2559,101.5642
48100,POINT(3.3216 101.4744),Batu Arang,Rawang,Selangor,3.3216,101.4744
48200,POINT(3.23 101.6374),Desa Melor,Serendah,Selangor,3.23,101.6374
48300,POINT(3.3083 101.5123),Bandar Bukit Beruntung,Rawang,Selangor,3.3083,101.5123
49000,POINT(3.7188 101.7403),Bukit Fraser,Bukit Fraser,Pahang,3.7188,101.7403
5000,POINT(6.1063 100.3685),Jalan Istana Lama,Alor Setar,Kedah,6.1063,100.3685
50000,POINT(3.1433 101.6955),Bangunan Bangkok Bank,Kuala Lumpur,WP Kuala Lumpur,3.1433,101.6955
50050,POINT(3.1451 101.6945),Balai Seni Lukis Negara,Kuala Lumpur,WP Kuala Lumpur,3.1451,101.6945
50088,POINT(3.1479 101.7008),Binjai On The Park,Kuala Lumpur,WP Kuala Lumpur,3.1479,101.7008
50100,POINT(3.1513 101.6947),Bangunan Bank Of Tokyo,Kuala Lumpur,WP Kuala Lumpur,3.1513,101.6947
50150,POINT(3.1406 101.6955),Jalan Changkat Stadium,Kuala Lumpur,WP Kuala Lumpur,3.1406,101.6955
50200,POINT(3.1447 101.7007),Blue Boy Mansion,Kuala Lumpur,WP Kuala Lumpur,3.1447,101.7007
50250,POINT(3.1447 101.6951),Bangunan Bank Industri,Kuala Lumpur,WP Kuala Lumpur,3.1447,101.6951
50300,POINT(3.1841 101.6911),Jalan Abdullah Yasin,Kuala Lumpur,WP Kuala Lumpur,3.1841,101.6911
50350,POINT(3.1512 101.6956),Bangunan DBKL,Kuala Lumpur,WP Kuala Lumpur,3.1512,101.6956
50400,POINT(3.149 101.697),Balai Islam,Kuala Lumpur,WP Kuala Lumpur,3.149,101.697
50450,POINT(3.1512 101.7091),Bangunan Angkasa Raya,Kuala Lumpur,WP Kuala Lumpur,3.1512,101.7091
50460,POINT(3.1365 101.6941),Bangunan Perangsang Segemal,Kuala Lumpur,WP Kuala Lumpur,3.1365,101.6941
50470,POINT(3.134 101.6873),"Hotel Summer View, KL",Kuala Lumpur,WP Kuala Lumpur,3.134,101.6873
50480,POINT(3.163 101.6753),Bangunan Bank Negara,Kuala Lumpur,WP Kuala Lumpur,3.163,101.6753
50490,POINT(3.1466 101.6673),Bangunan Exchange Square,Kuala Lumpur,WP Kuala Lumpur,3.1466,101.6673
5050,POINT(6.0141 100.3832),Jalan Ampang Jajar,Alor Setar,Kedah,6.0141,100.3832
50500,POINT(3.1325 101.6957),Istana Negara,Kuala Lumpur,WP Kuala Lumpur,3.1325,101.6957
50502,POINT(3.139 101.6869),Bahagian Kawal Selia Penyelenggaraan Pejabat Pengurus Bangunan,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50504,POINT(3.139 101.6869),Biro Bantuan Guaman Wilayah Persekutuan,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
50505,POINT(3.139 101.6869),Biro Pengaduan Awam Wilayah Persekutuan ,Kuala Lumpur,WP Kuala Lumpur,3.139,101.6869
